,LocationID,Borough,Median H/income
0,2,Queens,73696
1,7,Queens,73696
2,8,Queens,73696
3,9,Queens,73696
4,10,Queens,73696
5,15,Queens,73696
6,16,Queens,73696
7,19,Queens,73696
8,27,Queens,73696
9,28,Queens,73696
10,30,Queens,73696
11,38,Queens,73696
12,53,Queens,73696
13,56,Queens,73696
14,57,Queens,73696
15,64,Queens,73696
16,70,Queens,73696
17,73,Queens,73696
18,82,Queens,73696
19,83,Queens,73696
20,86,Queens,73696
21,92,Queens,73696
22,93,Queens,73696
23,95,Queens,73696
24,96,Queens,73696
25,98,Queens,73696
26,101,Queens,73696
27,102,Queens,73696
28,117,Queens,73696
29,121,Queens,73696
30,122,Queens,73696
31,124,Queens,73696
32,129,Queens,73696
33,130,Queens,73696
34,131,Queens,73696
35,132,Queens,73696
36,134,Queens,73696
37,135,Queens,73696
38,138,Queens,73696
39,139,Queens,73696
40,145,Queens,73696
41,146,Queens,73696
42,157,Queens,73696
43,160,Queens,73696
44,171,Queens,73696
45,173,Queens,73696
46,175,Queens,73696
47,179,Queens,73696
48,180,Queens,73696
49,191,Queens,73696
50,192,Queens,73696
51,193,Queens,73696
52,196,Queens,73696
53,197,Queens,73696
54,198,Queens,73696
55,201,Queens,73696
56,203,Queens,73696
57,205,Queens,73696
58,207,Queens,73696
59,215,Queens,73696
60,216,Queens,73696
61,218,Queens,73696
62,219,Queens,73696
63,223,Queens,73696
64,226,Queens,73696
65,252,Queens,73696
66,253,Queens,73696
67,258,Queens,73696
68,260,Queens,73696
69,3,Bronx,41432
70,18,Bronx,41432
71,20,Bronx,41432
72,31,Bronx,41432
73,32,Bronx,41432
74,46,Bronx,41432
75,47,Bronx,41432
76,51,Bronx,41432
77,58,Bronx,41432
78,59,Bronx,41432
79,60,Bronx,41432
80,69,Bronx,41432
81,78,Bronx,41432
82,81,Bronx,41432
83,94,Bronx,41432
84,119,Bronx,41432
85,126,Bronx,41432
86,136,Bronx,41432
87,147,Bronx,41432
88,159,Bronx,41432
89,167,Bronx,41432
90,168,Bronx,41432
91,169,Bronx,41432
92,174,Bronx,41432
93,182,Bronx,41432
94,183,Bronx,41432
95,184,Bronx,41432
96,185,Bronx,41432
97,199,Bronx,41432
98,200,Bronx,41432
99,208,Bronx,41432
100,212,Bronx,41432
101,213,Bronx,41432
102,220,Bronx,41432
103,235,Bronx,41432
104,240,Bronx,41432
105,241,Bronx,41432
106,242,Bronx,41432
107,247,Bronx,41432
108,248,Bronx,41432
109,250,Bronx,41432
110,254,Bronx,41432
111,259,Bronx,41432
112,4,Manhattan,93651
113,12,Manhattan,93651
114,13,Manhattan,93651
115,24,Manhattan,93651
116,41,Manhattan,93651
117,42,Manhattan,93651
118,43,Manhattan,93651
119,45,Manhattan,93651
120,48,Manhattan,93651
121,50,Manhattan,93651
122,68,Manhattan,93651
123,74,Manhattan,93651
124,75,Manhattan,93651
125,79,Manhattan,93651
126,87,Manhattan,93651
127,88,Manhattan,93651
128,90,Manhattan,93651
