max_temp,avg_temp,min_temp,Date,precip(in)
58,50.6,44,2018-04-01,0
43,37.4,32,2018-04-02,0.4
43,41,39,2018-04-03,0.15
56,47.2,41,2018-04-04,0.28
45,40.6,35,2018-04-05,0.11
62,46,37,2018-04-06,0
49,43.7,39,2018-04-07,0.09
44,38,33,2018-04-08,0
48,39.8,33,2018-04-09,0
50,43.6,40,2018-04-10,0
50,44.8,39,2018-04-11,0
60,52.5,46,2018-04-12,0
82,67.2,58,2018-04-13,0
68,58.8,46,2018-04-14,0
46,41.8,39,2018-04-15,0
61,48,39,2018-04-16,1.24
47,44.4,42,2018-04-17,1.62
54,46.6,39,2018-04-18,0
48,44.2,40,2018-04-19,0.07
50,43.5,38,2018-04-20,0.08
62,51.4,41,2018-04-21,0
64,54.8,47,2018-04-22,0
63,53.6,45,2018-04-23,0
65,55.9,47,2018-04-24,0
61,54.6,50,2018-04-25,0.42
70,60.2,54,2018-04-26,0.29
57,52,49,2018-04-27,0
65,57.4,51,2018-04-28,0.05
57,52.8,48,2018-04-29,0.22
51,49.2,44,2018-04-30,0
