max_temp,avg_temp,min_temp,Date,precip(in)
81,69.7,64,01-06-2018,0.08
87,77.3,69,02-06-2018,0.02
72,62.3,54,03-06-2018,0.02
70,58.3,52,04-06-2018,0.64
76,68.4,59,05-06-2018,0
70,63.8,60,06-06-2018,0
71,64.4,61,07-06-2018,0
82,73.1,62,08-06-2018,0
80,74.8,69,09-06-2018,0
72,68.5,64,10-06-2018,0
73,64.7,60,11-06-2018,0.01
74,66.8,60,12-06-2018,0
80,71.6,65,13-06-2018,0
85,77.2,70,14-06-2018,0.03
76,70.9,65,15-06-2018,0
86,76,68,16-06-2018,0
90,79.6,68,17-06-2018,0
92,83.2,74,18-06-2018,0
88,82.5,77,19-06-2018,0.1
83,75.3,70,20-06-2018,0
86,73,66,21-06-2018,1.09
74,70.1,65,22-06-2018,0
66,64.8,63,23-06-2018,0.1
87,73.2,66,24-06-2018,0
81,74.6,69,25-06-2018,0.01
76,70.8,64,26-06-2018,0
75,71.5,68,27-06-2018,0
86,75.6,71,28-06-2018,0.52
91,81.8,72,29-06-2018,1.03
95,84.3,74,30-06-2018,0
